AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:31 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-137.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
3.10           Angle of attack for zero Cn for linear Cn curve (deg)
6.81765        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5987        Cn at stall value for positive angle of attack for linear Cn curve
-0.4274        Cn at stall value for negative angle of attack for linear Cn curve
8.60           Angle of attack for minimum CD (deg)
0.0255         Minimum CD value
   -180.00    0.0903    0.0060
   -179.00    0.1663    0.0065
   -178.00    0.2423    0.0080
   -177.00    0.3182    0.0106
   -176.00    0.3931    0.0141
   -175.00    0.4637    0.0187
   -174.00    0.5235    0.0242
   -173.00    0.5659    0.0307
   -172.00    0.5884    0.0382
   -171.00    0.5956    0.0467
   -170.00    0.5962    0.0561
   -169.00    0.5974    0.0665
   -168.00    0.6027    0.0778
   -167.00    0.6130    0.0900
   -166.00    0.6278    0.1031
   -165.00    0.6463    0.1171
   -164.00    0.6674    0.1320
   -163.00    0.6904    0.1477
   -162.00    0.7146    0.1643
   -161.00    0.7396    0.1816
   -160.00    0.7649    0.1997
   -159.00    0.7903    0.2186
   -158.00    0.8155    0.2382
   -157.00    0.8404    0.2586
   -156.00    0.8648    0.2796
   -155.00    0.8885    0.3012
   -154.00    0.9114    0.3236
   -153.00    0.9335    0.3465
   -152.00    0.9547    0.3700
   -151.00    0.9749    0.3940
   -150.00    0.9939    0.4185
   -149.00    1.0119    0.4436
   -148.00    1.0286    0.4691
   -147.00    1.0441    0.4950
   -146.00    1.0583    0.5213
   -145.00    1.0712    0.5480
   -144.00    1.0827    0.5750
   -143.00    1.0929    0.6023
   -142.00    1.1016    0.6299
   -141.00    1.1088    0.6577
   -140.00    1.1146    0.6856
   -139.00    1.1188    0.7138
   -138.00    1.1216    0.7421
   -137.00    1.1228    0.7704
   -136.00    1.1225    0.7988
   -135.00    1.1206    0.8273
   -134.00    1.1172    0.8557
   -133.00    1.1122    0.8841
   -132.00    1.1056    0.9124
   -131.00    1.0976    0.9406
   -130.00    1.0879    0.9686
   -129.00    1.0768    0.9965
   -128.00    1.0641    1.0241
   -127.00    1.0499    1.0515
   -126.00    1.0342    1.0786
   -125.00    1.0170    1.1054
   -124.00    0.9985    1.1319
   -123.00    0.9784    1.1579
   -122.00    0.9570    1.1836
   -121.00    0.9342    1.2088
   -120.00    0.9101    1.2335
   -119.00    0.8847    1.2578
   -118.00    0.8581    1.2815
   -117.00    0.8302    1.3046
